ID,State_Name,District_Name,Crop_Year,Season,Crop,Area,Production
2143,Andhra Pradesh,EAST GODAVARI,2005,Rabi       ,Rice,170012.0,800927.0
2171,Andhra Pradesh,EAST GODAVARI,2006,Kharif     ,Rice,227930.0,547716.0
2187,Andhra Pradesh,EAST GODAVARI,2006,Rabi       ,Rice,168963.0,845829.0
2209,Andhra Pradesh,EAST GODAVARI,2007,Kharif     ,Rice,242000.0,715000.0
2218,Andhra Pradesh,EAST GODAVARI,2007,Rabi       ,Rice,169000.0,803000.0
2237,Andhra Pradesh,EAST GODAVARI,2008,Kharif     ,Rice,240231.0,716609.0
2250,Andhra Pradesh,EAST GODAVARI,2008,Rabi       ,Rice,169861.0,796648.0
2277,Andhra Pradesh,EAST GODAVARI,2009,Kharif     ,Rice,202153.0,616567.0
2292,Andhra Pradesh,EAST GODAVARI,2009,Rabi       ,Rice,104423.0,456537.0
2318,Andhra Pradesh,EAST GODAVARI,2010,Kharif     ,Rice,237640.0,457704.0
2331,Andhra Pradesh,EAST GODAVARI,2010,Rabi       ,Rice,172888.0,849917.0
2356,Andhra Pradesh,EAST GODAVARI,2011,Kharif     ,Rice,197445.0,589741.0
2372,Andhra Pradesh,EAST GODAVARI,2011,Rabi       ,Rice,139649.0,587084.0
2403,Andhra Pradesh,EAST GODAVARI,2012,Kharif     ,Rice,232300.0,355651.0
2426,Andhra Pradesh,EAST GODAVARI,2012,Rabi       ,Rice,168756.0,746239.0
2454,Andhra Pradesh,EAST GODAVARI,2013,Kharif     ,Rice,235159.0,434104.0
2478,Andhra Pradesh,EAST GODAVARI,2013,Rabi       ,Rice,169523.0,777602.0
2512,Andhra Pradesh,EAST GODAVARI,2014,Kharif     ,Rice,226072.0,681833.0
2536,Andhra Pradesh,EAST GODAVARI,2014,Rabi       ,Rice,168045.0,881396.0
2544,Andhra Pradesh,EAST GODAVARI,2014,Whole Year ,Rice,394117.0,1563229.0
2554,Andhra Pradesh,GUNTUR,1997,Kharif     ,Rice,295000.0,845300.0
2568,Andhra Pradesh,GUNTUR,1997,Rabi       ,Rice,14500.0,51800.0
2581,Andhra Pradesh,GUNTUR,1998,Kharif     ,Rice,298400.0,921400.0
2592,Andhra Pradesh,GUNTUR,1998,Rabi       ,Rice,29100.0,99900.0
2606,Andhra Pradesh,GUNTUR,1999,Kharif     ,Rice,302886.0,969414.0
2618,Andhra Pradesh,GUNTUR,1999,Rabi       ,Rice,14822.0,53167.0
2635,Andhra Pradesh,GUNTUR,2000,Kharif     ,Rice,292899.0,987363.0
2650,Andhra Pradesh,GUNTUR,2000,Rabi       ,Rice,12692.0,49600.0
2673,Andhra Pradesh,GUNTUR,2001,Kharif     ,Rice,272468.0,935110.0
2687,Andhra Pradesh,GUNTUR,2001,Rabi       ,Rice,44917.0,181060.0
2710,Andhra Pradesh,GUNTUR,2002,Kharif     ,Rice,202953.0,646811.0
2728,Andhra Pradesh,GUNTUR,2002,Rabi       ,Rice,2716.0,7385.0
2766,Andhra Pradesh,GUNTUR,2003,Kharif     ,Rice,170487.0,482990.0
2782,Andhra Pradesh,GUNTUR,2003,Rabi       ,Rice,5772.0,16837.0
2821,Andhra Pradesh,GUNTUR,2004,Kharif     ,Rice,240404.0,833961.0
2837,Andhra Pradesh,GUNTUR,2004,Rabi       ,Rice,21247.0,70922.0
2861,Andhra Pradesh,GUNTUR,2005,Kharif     ,Rice,288879.0,892636.0
2874,Andhra Pradesh,GUNTUR,2005,Rabi       ,Rice,31434.0,111559.0
