,Unnamed: 0,State,Year,Season,Crop,Area,Production,Rainfall
1371,11001,Arunachal Pradesh,2010,Kharif     ,Rice,11180.0,13760.0,2855.7
1381,11011,Arunachal Pradesh,2011,Kharif     ,Rice,11357.0,14995.0,2193.7
1391,11021,Arunachal Pradesh,2012,Kharif     ,Rice,11460.0,14822.0,3440.3
1400,11030,Arunachal Pradesh,2013,Kharif     ,Rice,14595.0,16058.0,2042.9
1410,11040,Arunachal Pradesh,2014,Kharif     ,Rice,13906.0,16479.0,2403.2
1420,11050,Arunachal Pradesh,1997,Kharif     ,Rice,21064.0,19900.0,2274.9
1431,11061,Arunachal Pradesh,1998,Kharif     ,Rice,21585.0,15045.0,3616.7
1446,11076,Arunachal Pradesh,1999,Kharif     ,Rice,22000.0,10500.0,2316.6
1456,11086,Arunachal Pradesh,2000,Kharif     ,Rice,18150.0,18150.0,2596.8
1467,11097,Arunachal Pradesh,2001,Kharif     ,Rice,4350.0,3500.0,2036.0
1478,11108,Arunachal Pradesh,2002,Kharif     ,Rice,14800.0,17465.0,2389.2
1489,11119,Arunachal Pradesh,2003,Kharif     ,Rice,8460.0,10152.0,2451.8
1498,11128,Arunachal Pradesh,2004,Kharif     ,Rice,9306.0,11167.0,2545.7
1507,11137,Arunachal Pradesh,2005,Kharif     ,Rice,9500.0,11600.0,2335.5
1515,11145,Arunachal Pradesh,2006,Kharif     ,Rice,9643.0,12075.0,2259.6
1524,11154,Arunachal Pradesh,2007,Kharif     ,Rice,7685.0,9459.0,3020.7
1533,11163,Arunachal Pradesh,2008,Kharif     ,Rice,7839.0,9647.0,2244.4
1542,11172,Arunachal Pradesh,2009,Kharif     ,Rice,10193.0,12544.66,1749.9
1550,11180,Arunachal Pradesh,2010,Kharif     ,Rice,8155.0,10655.0,2855.7
1558,11188,Arunachal Pradesh,2011,Kharif     ,Rice,8285.0,1161.0,2193.7
1566,11196,Arunachal Pradesh,2012,Kharif     ,Rice,8290.0,14358.0,3440.3
1574,11204,Arunachal Pradesh,2013,Kharif     ,Rice,8373.0,14792.0,2042.9
1582,11212,Arunachal Pradesh,2014,Kharif     ,Rice,7673.0,15210.0,2403.2
1591,11221,Arunachal Pradesh,1997,Kharif     ,Rice,6938.0,8400.0,2274.9
1602,11232,Arunachal Pradesh,1998,Kharif     ,Rice,7100.0,6880.0,3616.7
1616,11246,Arunachal Pradesh,1999,Kharif     ,Rice,7000.0,6800.0,2316.6
1626,11256,Arunachal Pradesh,2000,Kharif     ,Rice,7275.0,7520.0,2596.8
1636,11266,Arunachal Pradesh,2001,Kharif     ,Rice,7940.0,8270.0,2036.0
1646,11276,Arunachal Pradesh,2002,Kharif     ,Rice,8050.0,8500.0,2389.2
1656,11287,Arunachal Pradesh,2003,Kharif     ,Rice,8470.0,9825.0,2451.8
1666,11297,Arunachal Pradesh,2004,Kharif     ,Rice,9015.0,10277.0,2545.7
1676,11307,Arunachal Pradesh,2005,Kharif     ,Rice,9300.0,11615.0,2335.5
1686,11317,Arunachal Pradesh,2006,Kharif     ,Rice,10180.0,15139.0,2259.6
1694,11325,Arunachal Pradesh,2007,Kharif     ,Rice,9005.0,13854.0,3020.7
1704,11335,Arunachal Pradesh,2008,Kharif     ,Rice,9025.0,14347.0,2244.4
1714,11345,Arunachal Pradesh,2009,Kharif     ,Rice,9076.0,15822.66,1749.9
1724,11355,Arunachal Pradesh,2010,Kharif     ,Rice,9083.0,14684.0,2855.7
1734,11365,Arunachal Pradesh,2011,Kharif     ,Rice,9227.0,16002.0,2193.7
1744,11375,Arunachal Pradesh,2012,Kharif     ,Rice,9975.0,16753.0,3440.3
1754,11385,Arunachal Pradesh,2013,Kharif     ,Rice,12025.0,22686.0,2042.9
1764,11395,Arunachal Pradesh,2014,Kharif     ,Rice,11325.0,23105.0,2403.2
1774,11405,Arunachal Pradesh,1997,Kharif     ,Rice,868.0,1050.0,2274.9
1783,11414,Arunachal Pradesh,1998,Kharif     ,Rice,890.0,1112.0,3616.7
1793,11424,Arunachal Pradesh,1999,Kharif     ,Rice,900.0,1170.0,2316.6
1800,11431,Arunachal Pradesh,2000,Kharif     ,Rice,902.0,1205.0,2596.8
1807,11438,Arunachal Pradesh,2001,Kharif     ,Rice,902.0,1190.0,2036.0
1814,11445,Arunachal Pradesh,2002,Kharif     ,Rice,907.0,1210.0,2389.2
1824,11455,Arunachal Pradesh,2003,Kharif     ,Rice,911.0,1221.0,2451.8
1834,11465,Arunachal Pradesh,2004,Kharif     ,Rice,911.0,1230.0,2545.7
1843,11474,Arunachal Pradesh,2005,Kharif     ,Rice,777.0,1057.0,2335.5
1852,11483,Arunachal Pradesh,2006,Kharif     ,Rice,770.0,1082.0,2259.6
1861,11492,Arunachal Pradesh,2007,Kharif     ,Rice,770.0,1082.0,3020.7
1870,11501,Arunachal Pradesh,2008,Kharif     ,Rice,758.0,758.0,2244.4
1879,11510,Arunachal Pradesh,2009,Kharif     ,Rice,760.0,785.33,1749.9
1888,11519,Arunachal Pradesh,2010,Kharif     ,Rice,765.0,795.0,2855.7
1897,11528,Arunachal Pradesh,2011,Kharif     ,Rice,777.0,866.0,2193.7
1906,11537,Arunachal Pradesh,2012,Kharif     ,Rice,835.0,930.0,3440.3
1915,11546,Arunachal Pradesh,2013,Kharif     ,Rice,835.0,879.0,2042.9
1924,11555,Arunachal Pradesh,2014,Kharif     ,Rice,835.0,1298.0,2403.2
1933,11564,Arunachal Pradesh,1997,Kharif     ,Rice,5345.0,3700.0,2274.9
1943,11574,Arunachal Pradesh,1998,Kharif     ,Rice,5345.0,1942.0,3616.7
